,index,Ticker,Mentions,Start_Time,End_Time
65,833,CLOV,28,2021-01-25,2021-02-01
66,5,AAPL,26,2021-01-25,2021-02-01
67,4565,SENS,23,2021-01-25,2021-02-01
68,7218,SOS,22,2021-01-25,2021-02-01
69,4177,VXRT,22,2021-01-25,2021-02-01
70,7527,UWMC,22,2021-01-25,2021-02-01
71,5166,CCIV,21,2021-01-25,2021-02-01
72,4218,WKHS,21,2021-01-25,2021-02-01
73,2858,OCGN,21,2021-01-25,2021-02-01
74,5893,GME,5684,2021-02-01,2021-02-08
75,4769,AMC,2133,2021-02-01,2021-02-08
76,6624,NOK,523,2021-02-01,2021-02-08
77,4942,BB,413,2021-02-01,2021-02-08
78,3605,SNDL,187,2021-02-01,2021-02-08
79,2671,NAKD,125,2021-02-01,2021-02-08
80,7221,SPCE,52,2021-02-01,2021-02-08
81,833,CLOV,44,2021-02-01,2021-02-08
82,3937,TSLA,38,2021-02-01,2021-02-08
83,373,ATOS,34,2021-02-01,2021-02-08
84,1004,CTRM,30,2021-02-01,2021-02-08
85,4685,AG,28,2021-02-01,2021-02-08
86,5804,FUBO,28,2021-02-01,2021-02-08
87,5166,CCIV,25,2021-02-01,2021-02-08
88,960,CRSR,24,2021-02-01,2021-02-08
89,3878,TLRY,24,2021-02-01,2021-02-08
90,3443,SAVA,23,2021-02-01,2021-02-08
91,4177,VXRT,23,2021-02-01,2021-02-08
92,448,BBBY,22,2021-02-01,2021-02-08
93,4613,ZOM,22,2021-02-01,2021-02-08
94,2858,OCGN,21,2021-02-01,2021-02-08
95,2030,INO,21,2021-02-01,2021-02-08
96,470,BCRX,21,2021-02-01,2021-02-08
97,5893,GME,441,2021-02-08,2021-02-15
98,3605,SNDL,373,2021-02-08,2021-02-15
99,4769,AMC,191,2021-02-08,2021-02-15
100,3878,TLRY,168,2021-02-08,2021-02-15
101,4942,BB,76,2021-02-08,2021-02-15
102,1004,CTRM,63,2021-02-08,2021-02-15
103,4613,ZOM,57,2021-02-08,2021-02-15
104,2858,OCGN,50,2021-02-08,2021-02-15
105,6624,NOK,45,2021-02-08,2021-02-15
106,2671,NAKD,34,2021-02-08,2021-02-15
107,4461,GSAT,32,2021-02-08,2021-02-15
108,6859,PLTR,30,2021-02-08,2021-02-15
109,3937,TSLA,29,2021-02-08,2021-02-15
110,2877,OGI,28,2021-02-08,2021-02-15
111,555,BMBL,27,2021-02-08,2021-02-15
112,7218,SOS,23,2021-02-08,2021-02-15
113,23,ACB,22,2021-02-08,2021-02-15
114,1688,GOGO,22,2021-02-08,2021-02-15
115,833,CLOV,22,2021-02-08,2021-02-15
116,6590,NIO,21,2021-02-08,2021-02-15
117,7026,RKT,21,2021-02-08,2021-02-15
118,4283,XSPA,21,2021-02-08,2021-02-15
119,5893,GME,172,2021-02-15,2021-02-22
120,6859,PLTR,87,2021-02-15,2021-02-22
121,4769,AMC,47,2021-02-15,2021-02-22
122,3605,SNDL,26,2021-02-15,2021-02-22
123,5893,GME,798,2021-02-22,2021-03-01
124,4769,AMC,303,2021-02-22,2021-03-01
125,7218,SOS,64,2021-02-22,2021-03-01
126,4942,BB,56,2021-02-22,2021-03-01
127,6859,PLTR,52,2021-02-22,2021-03-01
128,3937,TSLA,47,2021-02-22,2021-03-01
129,5166,CCIV,47,2021-02-22,2021-03-01
130,6624,NOK,46,2021-02-22,2021-03-01
131,7026,RKT,42,2021-02-22,2021-03-01
132,3605,SNDL,28,2021-02-22,2021-03-01
133,7026,RKT,331,2021-03-01,2021-03-08
134,5893,GME,272,2021-03-01,2021-03-08
135,7527,UWMC,92,2021-03-01,2021-03-08
136,4769,AMC,87,2021-03-01,2021-03-08
137,7173,SKT,48,2021-03-01,2021-03-08
138,7218,SOS,47,2021-03-01,2021-03-08
139,6859,PLTR,37,2021-03-01,2021-03-08
140,2190,KMPH,22,2021-03-01,2021-03-08
141,3605,SNDL,21,2021-03-01,2021-03-08
142,5893,GME,754,2021-03-08,2021-03-15
143,4769,AMC,186,2021-03-08,2021-03-15
144,6976,RBLX,125,2021-03-08,2021-03-15
145,4942,BB,54,2021-03-08,2021-03-15
146,7026,RKT,34,2021-03-08,2021-03-15
147,7218,SOS,34,2021-03-08,2021-03-15
148,7527,UWMC,31,2021-03-08,2021-03-15
149,3340,RIDE,30,2021-03-08,2021-03-15
150,1685,GOEV,27,2021-03-08,2021-03-15
151,3937,TSLA,26,2021-03-08,2021-03-15
152,3605,SNDL,23,2021-03-08,2021-03-15
153,5789,FSR,22,2021-03-08,2021-03-15
154,6624,NOK,22,2021-03-08,2021-03-15
155,5893,GME,161,2021-03-15,2021-03-22
156,4769,AMC,64,2021-03-15,2021-03-22
157,7026,RKT,23,2021-03-15,2021-03-22
158,7527,UWMC,22,2021-03-15,2021-03-22
159,5893,GME,82,2021-03-29,2021-04-05
160,4942,BB,39,2021-03-29,2021-04-05
161,4769,AMC,28,2021-03-29,2021-04-05
162,337,ASO,25,2021-03-29,2021-04-05
163,6859,PLTR,23,2021-03-29,2021-04-05
164,5893,GME,66,2021-04-05,2021-04-12
165,7218,SOS,36,2021-04-05,2021-04-12
166,337,ASO,26,2021-04-05,2021-04-12
167,833,CLOV,91,2021-04-12,2021-04-19
168,5893,GME,58,2021-04-12,2021-04-19
169,898,COIN,37,2021-04-12,2021-04-19
170,4769,AMC,29,2021-04-12,2021-04-19
171,833,CLOV,74,2021-04-19,2021-04-26
172,2658,MVIS,54,2021-04-19,2021-04-26
173,5893,GME,46,2021-04-19,2021-04-26
174,7171,SKLZ,27,2021-04-19,2021-04-26
175,2658,MVIS,139,2021-04-26,2021-05-03
176,2569,MNMD,90,2021-04-26,2021-05-03
177,5893,GME,71,2021-04-26,2021-05-03
178,833,CLOV,62,2021-04-26,2021-05-03
179,6624,NOK,27,2021-04-26,2021-05-03
180,5893,GME,59,2021-05-03,2021-05-10
181,7026,RKT,53,2021-05-03,2021-05-10
182,4769,AMC,31,2021-05-03,2021-05-10
183,833,CLOV,28,2021-05-03,2021-05-10
184,6624,NOK,22,2021-05-03,2021-05-10
185,7218,SOS,22,2021-05-03,2021-05-10
186,2658,MVIS,21,2021-05-03,2021-05-10
187,4769,AMC,58,2021-05-10,2021-05-17
188,5893,GME,39,2021-05-10,2021-05-17
189,3937,TSLA,25,2021-05-10,2021-05-17
190,7527,UWMC,23,2021-05-10,2021-05-17
191,5893,GME,35,2021-05-17,2021-05-24
192,4769,AMC,34,2021-05-17,2021-05-24
193,7527,UWMC,30,2021-05-17,2021-05-24
194,833,CLOV,27,2021-05-17,2021-05-24
195,7221,SPCE,21,2021-05-17,2021-05-24
196,4769,AMC,253,2021-05-24,2021-05-31
197,5893,GME,109,2021-05-24,2021-05-31
198,4942,BB,62,2021-05-24,2021-05-31
199,7221,SPCE,55,2021-05-24,2021-05-31
200,4942,BB,478,2021-05-31,2021-06-07
201,4769,AMC,411,2021-05-31,2021-06-07
202,833,CLOV,91,2021-05-31,2021-06-07
203,4218,WKHS,90,2021-05-31,2021-06-07
204,5893,GME,80,2021-05-31,2021-06-07
205,830,CLNE,66,2021-05-31,2021-06-07
206,6624,NOK,48,2021-05-31,2021-06-07
207,3605,SNDL,46,2021-05-31,2021-06-07
208,3830,TELL,33,2021-05-31,2021-06-07
209,4215,WISH,706,2021-06-07,2021-06-14
210,833,CLOV,551,2021-06-07,2021-06-14
211,4942,BB,324,2021-06-07,2021-06-14
212,4769,AMC,292,2021-06-07,2021-06-14
213,830,CLNE,210,2021-06-07,2021-06-14
214,4218,WKHS,195,2021-06-07,2021-06-14
215,5242,CLF,192,2021-06-07,2021-06-14
216,5893,GME,165,2021-06-07,2021-06-14
217,4196,WEN,93,2021-06-07,2021-06-14
218,4565,SENS,63,2021-06-07,2021-06-14
219,3340,RIDE,59,2021-06-07,2021-06-14
220,7527,UWMC,58,2021-06-07,2021-06-14
221,5843,GEO,56,2021-06-07,2021-06-14
222,4227,WOOF,51,2021-06-07,2021-06-14
223,3605,SNDL,50,2021-06-07,2021-06-14
224,6624,NOK,45,2021-06-07,2021-06-14
225,4712,AHT,41,2021-06-07,2021-06-14
226,3878,TLRY,41,2021-06-07,2021-06-14
227,3388,ROOT,39,2021-06-07,2021-06-14
228,350,ASTS,36,2021-06-07,2021-06-14
229,7221,SPCE,36,2021-06-07,2021-06-14
230,337,ASO,34,2021-06-07,2021-06-14
231,6144,IVR,32,2021-06-07,2021-06-14
232,7409,TR,31,2021-06-07,2021-06-14
233,2933,ORPH,29,2021-06-07,2021-06-14
234,562,BNGO,29,2021-06-07,2021-06-14
235,1954,IDEX,27,2021-06-07,2021-06-14
236,1681,GNUS,27,2021-06-07,2021-06-14
237,7171,SKLZ,27,2021-06-07,2021-06-14
238,2374,LOTZ,24,2021-06-07,2021-06-14
239,4940,BARK,24,2021-06-07,2021-06-14
240,6859,PLTR,23,2021-06-07,2021-06-14
241,960,CRSR,23,2021-06-07,2021-06-14
242,3213,PUBM,22,2021-06-07,2021-06-14
243,7026,RKT,21,2021-06-07,2021-06-14
244,6590,NIO,21,2021-06-07,2021-06-14
245,847,CLVS,21,2021-06-07,2021-06-14
246,4014,UONE,21,2021-06-07,2021-06-14
247,4215,WISH,434,2021-06-14,2021-06-21
248,4769,AMC,190,2021-06-14,2021-06-21
249,833,CLOV,110,2021-06-14,2021-06-21
250,4942,BB,80,2021-06-14,2021-06-21
251,4218,WKHS,74,2021-06-14,2021-06-21
252,960,CRSR,66,2021-06-14,2021-06-21
253,830,CLNE,62,2021-06-14,2021-06-21
254,1122,DKNG,59,2021-06-14,2021-06-21
255,4227,WOOF,57,2021-06-14,2021-06-21
256,5242,CLF,55,2021-06-14,2021-06-21
257,5893,GME,54,2021-06-14,2021-06-21
258,7527,UWMC,47,2021-06-14,2021-06-21
259,6859,PLTR,35,2021-06-14,2021-06-21
260,337,ASO,33,2021-06-14,2021-06-21
261,3340,RIDE,31,2021-06-14,2021-06-21
262,2933,ORPH,29,2021-06-14,2021-06-21
263,5843,GEO,23,2021-06-14,2021-06-21
264,4565,SENS,22,2021-06-14,2021-06-21
265,2446,MAPS,22,2021-06-14,2021-06-21
266,1685,GOEV,22,2021-06-14,2021-06-21
267,323,ARVL,22,2021-06-14,2021-06-21
268,1912,HUT,21,2021-06-14,2021-06-21
269,4215,WISH,425,2021-06-21,2021-06-28
270,833,CLOV,106,2021-06-21,2021-06-28
271,4942,BB,68,2021-06-21,2021-06-28
272,7221,SPCE,62,2021-06-21,2021-06-28
273,4769,AMC,59,2021-06-21,2021-06-28
274,4218,WKHS,45,2021-06-21,2021-06-28
275,6929,PSFE,42,2021-06-21,2021-06-28
276,5893,GME,39,2021-06-21,2021-06-28
277,4461,GSAT,31,2021-06-21,2021-06-28
278,6859,PLTR,28,2021-06-21,2021-06-28
279,5242,CLF,22,2021-06-21,2021-06-28
280,4215,WISH,196,2021-06-28,2021-07-05
281,3620,SOFI,96,2021-06-28,2021-07-05
282,833,CLOV,85,2021-06-28,2021-07-05
283,4769,AMC,58,2021-06-28,2021-07-05
284,7221,SPCE,56,2021-06-28,2021-07-05
285,5242,CLF,44,2021-06-28,2021-07-05
286,4218,WKHS,40,2021-06-28,2021-07-05
287,5059,BODY,39,2021-06-28,2021-07-05
288,830,CLNE,37,2021-06-28,2021-07-05
